,TestName,Metadata,IterationStartTime,IterationEndTime,MetricName,value,BaseLine,Grp_id,grp_startTime,IntertionTime
30,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:43:36.766908,2023-04-27 07:48:38.080914,op_rate,15333.0,21533.229635090305,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:11.218900
31,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:48:45.068754,2023-04-27 07:53:48.373545,op_rate,15289.0,21534.852844036697,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:19.636239
32,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:53:54.907310,2023-04-27 07:58:58.570384,op_rate,15004.0,21537.74954162083,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:28.782138
33,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:59:05.279284,2023-04-27 08:04:07.065663,op_rate,15292.0,21536.260550458715,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:36.547151
34,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:04:13.884096,2023-04-27 08:09:19.335817,op_rate,14872.0,21535.004039662137,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:43.942393
35,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:09:26.645119,2023-04-27 08:14:35.744273,op_rate,14812.0,21535.08535688006,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:51.132499
36,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:14:42.604027,2023-04-27 08:19:49.396681,op_rate,14772.0,21536.634298277757,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:58.262480
37,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:19:56.587698,2023-04-27 08:25:06.526152,op_rate,14722.0,21534.12504570384,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:32:05.601205
38,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:25:13.389976,2023-04-27 08:30:13.020614,op_rate,15267.0,21534.46737536657,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:32:12.516309
39,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 08:30:19.829359,2023-04-27 08:35:21.228551,op_rate,15119.0,21535.02054292003,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:32:19.736900
